Typ,count,percent
coro > acc > coro > rec > aria > rec > choral,1,0.07
acc > aria > choral > rec > aria > rec > coro,1,0.07
acc > aria > coro > rec > aria > rec > choral,1,0.07
sonata > arioso > rec > aria > rec > aria,1,0.07
coro > rec > aria > rec > aria > rec > arioso > coro,1,0.07
choral > rec > aria > arioso > rec > aria > rec > choral,1,0.07
coro > rec > choral > coro > rec > choral,1,0.07
choral > acc > aria > choral > aria > choral,1,0.07
dictum > rec > aria > choral > aria > rec > aria > rec > choral,1,0.07
choral > aria > aria > choral,1,0.07
coro > aria > coro > aria > coro > coro,1,0.07
choral > rec > choral > aria > rec > aria > arioso > choral,1,0.07
acc > aria > rec > arioso > aria > acc > choral,1,0.07
acc > rec > choral > aria > rec > aria > rec > choral,1,0.07
choral > acc > aria > rec > aria > rec > arioso > choral,1,0.07
coro > acc > choral > aria > rec > aria > rec > choral,1,0.07
coro > choral > rec > aria > rec > coro,1,0.07
aria > rec > choral > rec > aria,1,0.07
dictum > aria > choral > rec > aria > acc > choral,1,0.07
dictum > rec > aria > rec > coro > rec > choral,1,0.07
coro > aria > aria > aria > choral,1,0.07
coro > aria > acc > aria > acc > choral > coro,1,0.07
choral > coro > aria > rec > aria > rec > choral,1,0.07
coro > aria > rec > coro > acc > coro > rec > choral,1,0.07
coro > rec > coro > rec > aria > choral,1,0.07
coro > acc > coro > rec > choral > rec > aria > rec > choral,1,0.07
coro > coro > rec > choral > aria > rec > choral,1,0.07
acc > aria > acc > aria > coro,1,0.07
aria > rec > acc > rec > aria > rec > aria > rec > aria,1,0.07
acc > aria > acc > aria > acc > choral,1,0.07
dictum > rec > aria > rec > aria > rec > aria > rec > aria > rec > coro > rec > aria > rec > coro,1,0.07
acc > coro > rec > aria > rec > coro,1,0.07
coro > rec > dictum > rec > aria > rec > dictum > rec > choral > aria > rec > choral,1,0.07
acc > aria > acc > rec > aria > rec > coro > rec > aria > choral,1,0.07
coro > arioso > choral > aria > choral > aria > arioso > coro,1,0.07
choral > rec > aria > rec > aria > rec > aria > choral,1,0.07
coro > rec > aria > acc > aria > rec > choral,1,0.07
coro > rec > aria > arioso > aria > rec > coro,1,0.07
coro > rec > coro > rec > aria > rec > choral > rec > coro,1,0.07
dictum > rec > aria > rec > aria > rec > aria > choral,1,0.07
coro > rec > aria > rec > choral > aria > choral,1,0.07
coro > rec > aria > choral > aria > acc > coro,1,0.07
coro > aria > coro > aria > aria > coro > aria > coro,1,0.07
coro > aria > aria > rec > aria > coro > rec > choral,1,0.07
coro > aria > acc > coro > rec > aria > coro > arioso > coro > aria > choral,1,0.07
coro > acc > aria > acc > coro > acc > coro > acc > aria > acc > coro > acc > coro > rec > coro,1,0.07
coro > rec > aria > rec > aria > rec > aria > rec > acc,1,0.07
coro > rec > aria > rec > aria > coro,1,0.07
coro > aria > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > aria > rec > coro > rec > arioso > rec > coro > rec > aria > rec > coro,1,0.07
coro > aria > rec > aria > rec > arioso > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > coro > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > coro > aria > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > aria > rec > aria > rec > coro > aria > rec > aria > rec > coro,1,0.07
coro > rec > aria > coro > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > coro > aria > rec > aria > rec > coro > aria > rec > coro,1,0.07
coro > rec > coro > rec > aria > coro > rec > aria > rec > aria > rec > choral > coro,1,0.07
coro > rec > coro > aria > coro > rec > aria > acc > aria > rec > choral,1,0.07
coro > acc > aria > acc > aria > acc > aria > rec > coro,1,0.07
coro > acc > aria > acc > coro > aria > acc > aria > rec > coro,1,0.07
dictum > acc > aria > rec > coro > aria > acc > aria > coro > coro,1,0.07
coro > acc > aria > rec > aria > rec > aria > acc > coro,1,0.07
coro > rec > aria > rec > coro > rec > aria > rec > aria > rec > coro,1,0.07
coro > rec > aria > rec > aria > coro > rec > coro > rec > choral,1,0.07
coro > acc > aria > rec > coro > aria > acc > aria > acc > coro,1,0.07
coro > acc > coro > rec > aria > rec > aria > rec > coro > rec > choral,1,0.07
coro > rec > aria > rec > coro > aria > acc > coro > acc > choral,1,0.07
coro > rec > aria > acc > aria > rec > coro > rec > choral,1,0.07
coro > rec > aria > rec > aria > rec > coro > acc > choral,1,0.07
coro > rec > coro > acc > aria > acc > choral,1,0.07
coro > rec > aria > rec > aria > acc > rec > choral,1,0.07
coro > rec > coro > rec > aria > rec > aria > rec > aria > coro > choral,1,0.07
coro > acc > choral > rec > aria > rec > aria > rec > coro > coro,1,0.07
coro > acc > coro > acc > coro > coro > rec > coro > rec > coro > acc > choral,1,0.07
coro > acc > aria > rec > coro,1,0.07
acc > rec > aria > rec > coro > coro,1,0.07
coro > acc > coro > aria > acc > aria > acc > aria > rec > choral,1,0.07
coro > acc > aria > rec > coro > aria > acc > aria > rec > aria > acc > choral,1,0.07
coro > acc > aria > acc > aria > rec > aria > acc > choral,1,0.07
coro > acc > aria > acc > coro > rec > aria > rec > choral,1,0.07
coro > acc > aria > rec > acc > aria > acc > aria > rec > choral,1,0.07
coro > aria > acc > choral > acc > aria > acc > choral,1,0.07
coro > acc > aria > coro > rec > aria > rec > choral,1,0.07
coro > rec > aria > rec > coro > aria > acc > choral,1,0.07
coro > rec > aria > rec > choral > aria > rec > coro > rec > aria > rec > choral > coro,1,0.07
