Werk;Satznr;Typ;Besetzung;Tonart;Takt;Jahr;Zeit;Saison;Jahrzehnt;A;AATB;AATT;AATTBB;AB;AT;ATB;ATTB;B;BB;BBB;BS;S;S S STB;SA;SA TB;SAATTBB;SAB;SAT;SAT B;SATB;SATBB;SATT;SATTB;SB;SS;SSAB;SSAT;SSATB;SSATBB;SSATTB;SSB;SSSAB;SSSATB;SSSTB;SSTB;ST;STB;T;TB;TT;basso continuo;bassoon;chalumeau;clarinet;clarino;flute;flute d'amore;horn;oboe;oboe d'amore;organ;recorder;strings;timpani;trombone;trumpet;viola;viola d'amore;violetta;violins;violoncello;violone;2er;3er;4er;6er;9er;12er;Sonstiges
1101/33;5;rec;(S,bc);;;1733;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/33;6;aria;(S,(fl),vl unis,vla,bc);C;C;1733;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;x;;;x;;;;;x;;;;
1101/33;7;choral;(4);D;C;1733;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1101/36;1;coro;(SATB,ob(2),str,bc);G;C;1736;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;x;;;;
1101/36;2;rec;(B,bc);;;1736;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/36;3;aria;(B,ob(2),str,bc);C;3;1736;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;x;;;;;
1101/36;4;rec;(A,bc);;;1736;1. Advent;Advent;1730;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/36;5;aria;(AT,vl unis,vla,bc);F;3;1736;1. Advent;Advent;1730;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;x;;;;;
1101/36;6;rec;(B,bc);;;1736;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/36;7;choral;(SATB,ob(2),str,bc);g;3 (largo e vivace);1736;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;x;;;;;
1101/37;1;coro;(SATB,ob(2),str,bc);C;3;1737;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;x;;;;;
1101/37;2;rec;(B,bc);;;1737;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/37;3;aria;(AB,chal(2)ab,str,bc);C;3;1737;1. Advent;Advent;1730;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/37;4;rec;(S,bc);;;1737;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/37;5;aria;(S,chala,str,bc);G;3;1737;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/37;6;rec;(T,bc);;;1737;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/37;7;choral;(SATB,chal(2)ab,str,bc);C;C (largo);1737;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1101/39;1;coro;(SATB,str,bc);B;C (allegro);1739;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;
1101/39;2;rec;(B,bc);;;1739;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/39;3;aria;(B,str,bc);F;3 (vivace);1739;1. Advent;Advent;1730;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/39;4;choral;(SATB,str,bc);B;3;1739;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;x;;;;;
1101/39;5;rec;(S,bc);;;1739;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101/39;6;aria;(S,(ob),str,bc);Es;12/8 (vivace, un poco allegro);1739;1. Advent;Advent;1730;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;;;;x;
1101/39;7;acc;(A,str,bc);;;1739;1. Advent;Advent;1730;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1101/39;8;choral;(4);D;C;1739;1. Advent;Advent;1730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
1101/40;1;coro;(SATB,(ob),str,bc);B;6/8;1740;1. Advent;Advent;1740;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;;;;x;;;;;;;;;;;;;x;;;
1101/40;2;acc;(B,str,bc);;;1740;1. Advent;Advent;1740;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
1101/40;3;aria;(B,fg,vla,str,bc);g;6/4;1740;1. Advent;Advent;1740;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;x;;;;x;;;;;;;;;x;;;
